Hex_ID,CitCtr_PT,CitCtr_Cy,CitCtr_Wa,CitCtr_Ca,DisCtr_PT,DisCtr_Cy,DisCtr_Wa,DisCtr_Ca,Em500_PT,Em500_Cy,Em500_Wa,Em500_Ca,Em5000_PT,Em5000_Cy,Em5000_Wa,Em5000_Ca,FurEd_PT,FurEd_Cy,FurEd_Wa,FurEd_Ca,GP_PT,GP_Cy,GP_Wa,GP_Ca,Hos_PT,Hos_Cy,Hos_Wa,Hos_Ca,MajCtr_PT,MajCtr_Cy,MajCtr_Wa,MajCtr_Ca,PriSch_PT,PriSch_Cy,PriSch_Wa,PriSch_Ca,SecSch_PT,SecSch_Cy,SecSch_Wa,SecSch_Ca,StrEmp_PT,StrEmp_Cy,StrEmp_Wa,StrEmp_Ca
SG00234,0.0,0.0,0.0,12.916401912963034,0.0,0.0,0.0,56.47667410036753,0.0,107.11161846893307,4.663577563879809,50.48473158450301,0.0,0.0,0.0,25.619661772790167,0.0,0.0,0.0,4.382591019962762,0.0,0.0,0.0,7.160109155046889,0.0,0.0,0.0,0.5686138492048035,0.0,0.0,0.0,6.4456080524244195,0.0,0.0,0.0,51.71302491409486,0.0,0.0,0.0,32.3158558152664,0.0,0.0,0.0,51.74653489576201
SG00198,0.0,0.0,0.0,11.762538049552168,0.0,0.0,0.0,47.792287457478544,48.52529539571416,141.8549209888658,6.782601533462116,42.956500720291515,0.0,0.0,0.0,22.666821029753528,0.0,0.0,0.0,3.961246306733538,0.0,0.0,0.0,6.148267200940686,0.0,0.0,0.0,0.5214890533516252,0.0,0.0,0.0,5.845838761338633,0.0,0.0,0.0,44.264967327824614,0.0,0.0,0.0,27.75456368593564,0.0,0.0,0.0,43.095010154787445
SG00170,0.0,0.0,0.0,12.063229704584257,0.0,0.0,0.0,56.20973799424611,70.71514394392962,218.38512845704489,12.056868091872202,55.48586866097138,0.0,0.0,0.0,24.354310260020217,0.0,0.0,0.0,4.123753775397225,0.0,0.0,0.0,7.964105272799537,0.0,0.0,0.0,0.5507482291208883,0.0,0.0,0.0,6.1958191656944335,0.0,0.0,0.0,66.76772583168645,0.0,0.0,0.0,31.541994004660925,0.0,0.0,0.0,51.82980820914565
SG00146,0.0,0.0,0.0,11.640857265770624,0.0,0.0,0.0,52.25300245317821,0.0,0.0,0.0,48.23190830332901,0.0,0.0,0.0,23.227927425928296,0.0,0.0,0.0,3.954376616672032,0.0,0.0,0.0,7.731849034819192,0.0,0.0,0.0,0.5360369483694529,0.0,0.0,0.0,6.005669197741384,0.0,0.0,0.0,66.67134831453014,0.0,0.0,0.0,29.792517549828272,0.0,0.0,0.0,47.41974902687655
SG00122,0.0,0.0,0.0,11.626395608431183,0.0,0.0,0.0,52.27437704535104,0.0,0.0,0.0,49.25319190817534,0.0,0.0,0.0,23.20599778722868,0.0,0.0,0.0,4.398297193549726,0.0,0.0,0.0,7.740617583281985,0.0,0.0,0.0,0.537378708337586,0.0,0.0,0.0,6.012226157985315,0.0,0.0,0.0,67.13211836526939,0.0,0.0,0.0,29.802828609372682,0.0,0.0,0.0,47.515890363846474
SG00100,0.0,0.0,0.0,10.952825111956766,0.0,0.0,0.0,50.59959813010281,0.0,0.0,0.0,52.267496866528795,0.0,0.0,0.0,21.50798729077882,0.0,0.0,0.0,4.154652720775549,0.0,0.0,0.0,7.922580385716116,0.0,0.0,0.0,0.5109741473992958,0.0,0.0,0.0,5.666573780799963,0.0,0.0,0.0,69.07661743466211,0.0,0.0,0.0,29.472493907106614,0.0,0.0,0.0,45.953259053992625
SG00080,0.0,0.0,0.0,10.285227188448282,0.0,0.0,0.0,41.70770766894598,199.4978152626047,1170.1444141876093,113.04630730890966,53.77270591474973,0.0,0.0,0.0,19.827541503155715,0.0,0.0,0.0,3.0251010182252935,0.0,0.0,0.0,6.138278832540701,0.0,0.0,0.0,0.4797114441507157,0.0,0.0,0.0,5.286427814859404,0.0,0.0,0.0,49.673212842059485,0.0,0.0,0.0,24.87223511876602,0.0,0.0,0.0,37.76581117594502
SG00061,0.0,0.0,0.0,8.755457262379622,0.0,0.0,0.0,34.14498025417446,60.07460335479982,209.65141784775452,11.418283820472812,34.3218800984964,0.0,0.0,0.0,17.705622239668564,0.0,0.0,0.0,2.7337330495490595,0.0,0.0,0.0,4.8050917083066595,0.0,0.0,0.0,0.4383059991746,0.0,0.0,0.0,4.792176585668444,0.0,0.0,0.0,36.43906144338437,0.0,0.0,0.0,20.817788996387886,0.0,0.0,0.0,30.422800550928592
SG00042,0.0,0.0,0.0,9.788622020283142,0.0,0.0,0.0,39.58667728173328,0.0,0.0,0.0,37.88308394549165,0.0,0.0,0.0,18.677950439283713,0.0,0.0,0.0,3.3221032857613273,0.0,0.0,0.0,6.087581992551649,0.0,0.0,0.0,0.4631751245365878,0.0,0.0,0.0,5.083498600283636,0.0,0.0,0.0,48.857368600185495,0.0,0.0,0.0,23.381339666224186,0.0,0.0,0.0,37.31477718572041
SG00026,0.0,0.0,0.0,9.33063558256487,0.0,0.0,0.0,37.134530956280344,0.0,0.0,0.0,35.729276415703694,0.0,0.0,0.0,17.66717046799569,0.0,0.0,0.0,3.6388524443025716,0.0,0.0,0.0,5.742760801797199,0.0,0.0,0.0,0.44922922566581414,0.0,0.0,0.0,4.891754203464248,0.0,0.0,0.0,45.24058181034931,0.0,0.0,0.0,21.59009709207352,0.0,0.0,0.0,33.79915397658111
